song,artist,lyric
Dark Horse,Katy Perry featuring Juicy J,"Oh, no

[Juicy J:]
Yeah
Ya'll know what it is
Katy Perry
Juicy J, aha
Let's rage

[Katy Perry:]
I knew you were
You were gonna come to me
And here you are
But you better choose carefully
'Cause I, I'm capable of anything
Of anything and everything

Make me your Aphrodite
Make me your one and only
But don't make me your enemy, your enemy, your enemy

So you wanna play with magic
Boy, you should know what you're falling for
Baby do you dare to do this?
Cause I'm coming at you like a dark horse
Are you ready for, ready for
A perfect storm, perfect storm
Cause once you're mine, once you're mine
There is no going back

Mark my words
This love will make you levitate
Like a bird
Like a bird without a cage
But down to earth
If you choose to walk away, don't walk away

It's in the palm of your hand now baby
It's a yes or no, no maybe
So just be sure before you give it all to me
All to me, give it all to me

So you wanna play with magic
Boy, you should know what you're falling for
Baby do you dare to do this?
Cause I'm coming at you like a dark horse
Are you ready for, ready for
A perfect storm, perfect storm
Cause once you're mine, once you're mine (love trippin')
There's no going back

[Juicy J - Rap Verse:]
Uh
She's a beast
I call her Karma (come back)
She eats your heart out
Like Jeffrey Dahmer (woo)
Be careful
Try not to lead her on
Shorty's heart is on steroids
Cause her love is so strong
You may fall in love
When you meet her
If you get the chance you better keep her
She's sweet as pie but if you break her heart
She'll turn cold as a freezer
That fairy tale ending with a knight in shining armor
She can be my Sleeping Beauty
I'm gon' put her in a coma
Woo!
Damn I think I love her
Shorty so bad, I'm sprung and I don't care
She ride me like a roller coaster
Turned the bedroom into a fair (a fair!)
Her love is like a drug
I was tryna hit it and quit it
But lil' mama so dope
I messed around and got addicted

[Katy Perry:]
So you wanna play with magic
Boy, you should know what you're falling for (you should know)
Baby do you dare to do this?
Cause I'm coming at you like a dark horse (like a dark horse)
Are you ready for, ready for (ready for)
A perfect storm, perfect storm (a perfect storm)
Cause once you're mine, once you're mine (mine)
There's no going back"
Bad Romance,Lady Gaga,"Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh
Caught in a bad romance
Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh
Caught in a bad romance
Ra-ra-ah-ah-ah
Roma Roma-ma
Gaga, ""Ooh la-la""
Want your bad romance
Ra-ra-ah-ah-ah
Roma, Roma-ma
Gaga, ""Ooh la-la""
Want your bad romance

I want your ugly, I want your disease
I want your everything as long as it's free
I want your love
Love, love, love, I want your love, oh, ey
I want your drama, the touch of your hand (Hey!)
I want your leather-studded kiss in the sand
I want your love
Love, love, love, I want your love
(Love, love, love, I want your love)

You know that I want you
And you know that I need you
I want it bad
Your bad romance

I want your love, and I want your revenge
You and me could write a bad romance (Oh-oh-oh-oh-oh)
I want your love, and all your lover's revenge
You and me could write a bad romance
Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh
Caught in a bad romance
Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh
Caught in a bad romance

Ra-ra-ah-ah-ah
Roma-roma-ma
Gaga, ""Ooh la-la""
Want your bad romance

I want your horror, I want your design
'Cause you're a criminal as long as you're mine
I want your love
Love, love, love, I want your love, uh
I want your psycho, your vertigo schtick (Schtick, hey!)
Want you in my rear window, baby, you're sick
I want your love
Love, love, love, I want your love
(Love, love, love, I want your love)

You know that I want you
And you know that I need you ('Cause I'm a free bitch, baby)
I want it bad
Your bad romance

I want your love, and I want your revenge
You and me could write a bad romance (Oh-oh-oh-oh-oh)
I want your love, and all your lover's revenge
You and me could write a bad romance
Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh
Caught in a bad romance
Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh
Caught in a bad romance

Ra-ra-ah-ah-ah
Roma-roma-ma
Gaga, ""Ooh la-la""
Want your bad romance
Ra-ra-ah-ah-ah
Roma-roma-ma
Gaga, ""Ooh la-la""
Want your bad romance

Walk, walk, fashion, baby
Work it, move that bitch crazy
Walk, walk, fashion, baby
Work it, move that bitch crazy
Walk, walk, fashion, baby
Work it, move that bitch crazy
Walk, walk, passion, baby
Work it, I'm a free bitch, baby

I want your love, and I want your revenge
I want your love, I don't wanna be friends
Je veux ton amour et je veux ta revanche
Je veux ton amour, I don't wanna be friends
(Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh)
(I want you back) No, I don't wanna be friends
(Caught in a bad romance) I don't wanna be friends
Want your bad romance
(Caught in a bad romance) Want your bad romance

I want your love, and I want your revenge
You and me could write a bad romance (Oh-oh-oh-oh-oh)
I want your love, and all your lover's revenge
You and me could write a bad romance
Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh
(Want your bad romance)
Caught in a bad romance (Want your bad romance)
Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh
(Want your bad romance)
Caught in a bad romance

Ra-ra-ah-ah-ah
Roma, Roma-ma
Gaga, ""Ooh la-la""
Want your bad romance"
When I Was Your Man,Bruno Mars,"Same bed but it feels just a little bit bigger now
Our song on the radio but it don't sound the same
When our friends talk about you, all it does is just tear me down
'Cause my heart breaks a little when I hear your name

It all just sounds like oooooh…
Mmm, too young, too dumb to realize
That I should've bought you flowers
And held your hand
Should've gave you all my hours
When I had the chance
Take you to every party
'Cause all you wanted to do was dance
Now my baby's dancing
But she's dancing with another man

My pride, my ego, my needs, and my selfish ways
Caused a good strong woman like you to walk out my life
Now I'll never, never get to clean up the mess I made, ohh…
And it haunts me every time I close my eyes

It all just sounds like oooooh…
Mmm, too young, too dumb to realize
That I should've bought you flowers
And held your hand
Should've gave you all my hours
When I had the chance
Take you to every party
'Cause all you wanted to do was dance
Now my baby's dancing
But she's dancing with another man

Although it hurts
I'll be the first to say that I was wrong
Oh, I know I'm probably much too late
To try and apologize for my mistakes
But I just want you to know

I hope he buys you flowers
I hope he holds your hand
Give you all his hours
When he has the chance
Take you to every party
'Cause I remember how much you loved to dance
Do all the things I should have done
When I was your man
Do all the things I should have done
When I was your man"
See You Again,Wiz Khalifa ft. Charlie Puth,"[Charlie Puth:]
It's been a long day without you, my friend
And I'll tell you all about it when I see you again
We've come a long way from where we began
Oh, I'll tell you all about it when I see you again
When I see you again

[Wiz Khalifa:]
Damn, who knew?
All the planes we flew, good things we been through
That I'd be standing right here talking to you
'Bout another path, I know we loved to hit the road and laugh
But something told me that it wouldn't last
Had to switch up, look at things different, see the bigger picture
Those were the days, hard work forever pays
Now I see you in a better place (See you in a better place)
Uh

How could we not talk about family when family's all that we got?
Everything I went through, you were standing there by my side
And now you gon' be with me for the last ride

[Charlie Puth & Wiz Khalifa:]
It's been a long day without you, my friend
And I'll tell you all about it when I see you again (I'll see you again)
We've come a long way (Yeah, we came a long way) from where we began
(You know we started)
Oh, I'll tell you all about it when I see you again (I'll tell you)
When I see you again

[Charlie Puth:]
Aah oh, aah oh
Wooooh-oh-oh-oh-oh-oh
Yeah

[Wiz Khalifa:]
First, you both go out your way and the vibe is feeling strong
And what's small turned to a friendship, a friendship turned to a bond
And that bond will never be broken, the love will never get lost
(The love will never get lost)
And when brotherhood come first, then the line will never be crossed
Established it on our own when that line had to be drawn
And that line is what we reached, so remember me when I'm gone
(Remember me when I'm gone)

How could we not talk about family when family's all that we got?
Everything I went through you were standing there by my side
And now you gon' be with me for the last ride

[Charlie Puth:]
So let the light guide your way, yeah
Hold every memory as you go
And every road you take
Will always lead you home, home

It's been a long day without you, my friend
And I'll tell you all about it when I see you again
We've come a long way from where we began
Oh, I'll tell you all about it when I see you again
When I see you again

[Charlie Puth & Wiz Khalifa:]
Aah oh, aah oh (Uh)
Yeah (Yeah)
Wooooh-oh-oh-oh-oh-oh (Yo)
When I see you again (Yo, uh)
See you again (Yo, yo)
Oh-oh (Uh-huh)
(Yup) When I see you again"
The Hills,The Weeknd,"Your man on the road, he doing promo
You said keep our business on the low-low
I'm just tryna get you out the friend zone
'Cause you look even better than the photos
I can't find your house, send me the info
Driving through the gated residential
Found out I was coming, sent your friends home
Keep on tryna hide it but your friends know

I only call you when it's half past five
The only time that I'll be by your side
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah
I only call you when it's half past five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, babe

I'ma let you know and keep it simple
Tryna keep it up, don't seem so simple
I just fucked two bitches 'fore I saw you
You gon' have to do it at my tempo
Always tryna send me off to rehab
Drugs started feeling like it's decaf
I'm just tryna live life for the moment
And all these motherfuckers want a relapse

I only call you when it's half past five
The only time that I'll be by your side
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah
I only call you when it's half past five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, babe

Hills have eyes, the hills have eyes
Who are you to judge, who are you to judge?
Hide your lies, girl, hide your lies
Only you to trust, only you

I only call you when it's half past five
The only time that I'll be by your side
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, yeah
I only call you when it's half past five
The only time I'd ever call you mine
I only love it when you touch me, not feel me
When I'm fucked up, that's the real me
When I'm fucked up, that's the real me, babe

What about love? What about love?
[Translated in Amharic (Ethiopian language):
እወዲሃለወ
የኔ ቆንጆ
እወዲሃለወ
የኔ ፍቅር ፍቅር ፍቅር ፍቅር ፍቅር
የኔ ፍቅር ፍቅር ፍቅር ፍቅር ፍቅር]
[English transliteration:
Ewedihalehu
Yene konjo,
Ewedihalehu
Yene fikir, fikir, fikir, fikir
Yene fikir, fikir, fikir, fikir]
[English Translation:
I love you
My beautiful one
I love you
My love, love, love, love, love
My love, love, love, love, love]"
God's Plan,Drake,"And they wishin' and wishin' and wishin' and wishin'
They wishin' on me, yeah

I been movin' calm, don't start no trouble with me
Tryna keep it peaceful is a struggle for me
Don't pull up at 6 AM to cuddle with me
You know how I like it when you lovin' on me
I don't wanna die for them to miss me
Yes, I see the things that they wishin' on me
Hope I got some brothers that outlive me
They gon' tell the story, shit was different with me

God's plan, God's plan
I hold back, sometimes I won't, yuh
I feel good, sometimes I don't, ayy, don't
I finessed down Weston Road, ayy, 'nessed
Might go down a G.O.D., yeah, wait
I go hard on Southside G, yeah, wait
I make sure that north-side eat

And still, bad things
It's a lot of bad things
That they wishin' and wishin' and wishin' and wishin'
They wishin' on me
Bad things
It's a lot of bad things
That they wishin' and wishin' and wishin' and wishin'
They wishin' on me
Yeah, ayy, ayy

She say, ""Do you love me?"" I tell her, ""Only partly
I only love my bed and my mama, I'm sorry""
Fifty Dub, I even got it tatted on me
81, they'll bring the crashers to the party
And you know me
Turn the O2 into the O3, dog
Without 40, Oli, there'd be no me
'Magine if I never met the broskies

God's plan, God's plan
I can't do this on my own, ayy, no, ayy
Someone watchin' this shit close, yep, close
I've been me since Scarlett Road, ayy, road, ayy
Might go down as G.O.D., yeah, wait
I go hard on Southside G, ayy, wait
I make sure that north-side eat, yeah

And still, bad things
It's a lot of bad things
That they wishin' and wishin' and wishin' and wishin'
They wishin' on me, yeah, yeah
Bad things
It's a lot of bad things
That they wishin' and wishin' and wishin' and wishin'
They wishin' on me, yeah"
Congratulations,Post Malone ft. Quavo,"Mm-mmm
Yah, yah
Mm-mmm
Yah (hey)

[Post Malone:]
My momma called, see you on TV, son
Said shit done changed ever since we was on
I dreamed it all ever since I was young
They said I would be nothing
Now they always say, ""Congratulations"" (uh)
Worked so hard, forgot how to vacation (uh-huh)
They ain't never had the dedication (uh)
People hatin', say we changed and, look, we made it (uh)
Yeah, we made it (uh)

They was never friendly, yeah
Now I'm jumping out the Bentley, yeah
And I know I sound dramatic, yeah
But I know I had to have it, yeah
For the money, I'm a savage, yeah
I be itching like a addict, yeah
I'm surrounded, twenty bad bitches, yeah
But they didn't know me last year, yeah
Everyone wanna act like they important (yeah)
But all that mean nothing when I saw my dough, yeah (yeah)
Everyone counting on me, drop the ball, yeah (yeah)
Everything custom like I'm at the border, yah, yah
If you fuck with winning, put your lighters to the sky
How could I make cents when I got millions on my mind?
Coming with that bullshit, I just put it to the side
Balling since a baby, they could see it in my eyes

[Post Malone and Quavo:]
My momma called, see you on TV, son
Said shit done changed ever since we was on
I dreamed it all ever since I was young
They said I would be nothing
Now they always say, ""Congratulations"" (congratulations)
Worked so hard, forgot how to vacation (ooh)
They ain't never had the dedication (uh, ayy)
People hatin', say we changed and, look, we made it (uh)
Yeah, we made it (uh, yah)

[Quavo:]
I was patient (yah)
Uh, I was patient (ayy, uh)
Now I can scream that we made it (we made it)
Now everywhere, everywhere I go, they say 'gratulation (uh)
Young nigga, young nigga, graduation (yah)
I pick up the rock and I ball, baby (ball)
I'm looking for someone to call, baby (brr)
But right now, I got a situation (ayy)
Never old Ben Ben Franklins (cash)
Big rings, champagne (ooh, champagne)
My life is like a ball game (ball game)
But instead I'm in the trap though (trap though)
Pot so big, call it Super Bowl (Super Bowl)
Super Bowl, call the hoes (brr)
Get in the Rolls (skrrt)
Top-floor lifestyle (top)
Huncho and Post (yah, ayy) Malone (ayy)
I gotta play on my phone (ayy)
You know what I'm on (ayy)
Huncho Houdini is gone (ayy)

[Post Malone and Quavo:]
My momma called, see you on TV, son
Said shit done changed ever since we was on
I dreamed it all ever since I was young
They said I would be nothing
Now they always say, ""Congratulations"" (ayy, uh)
Worked so hard, forgot how to vacation (uh-huh, ooh)
They ain't never had the dedication (ayy, uh)
People hatin', say we changed and, look, we made it (uh)
Yeah, we made it (ayy)

Hey, hey, hey, hey
Hey, hey, hey, hey
Hey, hey, hey, hey
Hey, hey, hey, hey"
Meant to Be,Bebe Rexha featuring Florida Georgia Line,"[Florida Georgia Line:]
Baby, lay on back and relax
Kick your pretty feet up on my dash
No need to go nowhere fast, let's enjoy right here where we at

Who knows where this road is supposed to lead?
We got nothing but time
As long as you're right here next to me, everything's gonna be alright

If it's meant to be, it'll be, it'll be
Baby, just let it be
If it's meant to be, it'll be, it'll be
Baby, just let it be
So won't you ride with me, ride with me?
See where this thing goes
If it's meant to be, it'll be, it'll be
Baby, if it's meant to be

[Bebe Rexha:]
I don't mean to be so uptight
But my heart's been hurt a couple times by a couple guys that didn't treat me right
I ain't gon' lie, ain't gon' lie
Cause I'm tired of the fake love, show me what you're made of
Boy, make me believe

[Florida Georgia Line:]
Oh, hold up girl, don't you know you're beautiful?
And it's easy to see

[Bebe Rexha & Florida Georgia Line:]
If it's meant to be, it'll be, it'll be
Baby, just let it be
If it's meant to be, it'll be, it'll be
Baby just let it be
So won't you ride with me, ride with me?
See where this thing goes
If it's meant to be, it'll be, it'll be
Baby, if it's meant to be

So c'mon ride with me, ride with me
See where this thing goes
So c'mon ride with me, ride with me
Baby, if it's meant to be

[Bebe Rexha (Florida Georgia Line) {Both}:]
(Maybe we do)
Maybe we don't
(Maybe we will)
{Maybe we won't}

[Bebe Rexha & Florida Georgia Line:]
But if it's meant to be, it'll be, it'll be
Baby, just let it be
If it's meant to be, it'll be, it'll be (c'mon)
Baby, just let it be (let's go)
So won't you ride with me, ride with me?
See where this thing goes
If it's meant to be, it'll be, it'll be
Baby, if it's meant to be

[Bebe Rexha (Florida Georgia Line) {Both}:]
(If it's meant to be, it'll be, it'll be)
{Baby, if it's meant to be}
(If it's meant to be, it'll be, it'll be)
{Baby, if it's meant to be}"
Sunflower,Post Malone and Swae Lee,"[Swae Lee:]
Ayy, ayy, ayy, ayy (ooh)
Ooh, ooh, ooh, ohh (ooh)
Ayy, ayy
Ooh, ooh, ooh, ohh

Needless to say, I keep in check
She was a bad-bad, nevertheless (yeah)
Callin' it quits now, baby, I'm a wreck (wreck)
Crash at my place, baby, you're a wreck (wreck)

Needless to say, I'm keepin' in check
She was a bad-bad, nevertheless
Callin' it quits now, baby, I'm a wreck
Crash at my place, baby, you're a wreck

Thinkin' in a bad way, losin' your grip
Screamin' at my face, baby, don't trip
Someone took a big L, don't know how that felt
Lookin' at you sideways, party on tilt

Ooh-ooh
Some things you just can't refuse
She wanna ride me like a cruise
And I'm not tryna lose

Then you're left in the dust
Unless I stuck by ya
You're a sunflower
I think your love would be too much
Or you'll be left in the dust
Unless I stuck by ya
You're the sunflower
You're the sunflower

[Post Malone:]
Every time I'm leavin' on you
You don't make it easy, no, no
Wish I could be there for you
Give me a reason to, oh, oh 

Every time I'm walkin' out
I can hear you tellin' me to turn around
Fightin' for my trust and you won't back down
Even if we gotta risk it all right now, oh

I know you're scared of the unknown (-known)
You don't wanna be alone (alone)
I know I always come and go (and go)
But it's out of my control

And you'll be left in the dust
Unless I stuck by ya
You're the sunflower
I think your love would be too much
Or you'll be left in the dust
Unless I stuck by ya
You're the sunflower
You're the sunflower
Yeah"
Baby Shark,Pinkfong,"Baby shark, doo doo doo doo doo doo
Baby shark, doo doo doo doo doo doo
Baby shark, doo doo doo doo doo doo
Baby shark!

Mommy shark, doo doo doo doo doo doo
Mommy shark, doo doo doo doo doo doo
Mommy shark, doo doo doo doo doo doo
Mommy shark!

Daddy shark, doo doo doo doo doo doo
Daddy shark, doo doo doo doo doo doo
Daddy shark, doo doo doo doo doo doo
Daddy shark!

Grandma shark, doo doo doo doo doo doo
Grandma shark, doo doo doo doo doo doo
Grandma shark, doo doo doo doo doo doo
Grandma shark!

Grandpa shark, doo doo doo doo doo doo
Grandpa shark, doo doo doo doo doo doo
Grandpa shark, doo doo doo doo doo doo
Grandpa shark!

Let's go hunt, doo doo doo doo doo doo
Let's go hunt, doo doo doo doo doo doo
Let's go hunt, doo doo doo doo doo doo
Let's go hunt!

Run away, doo doo doo doo doo doo
Run away, doo doo doo doo doo doo
Run away, doo doo doo doo doo doo
Run away!

Safe at last, doo doo doo doo doo doo
Safe at last, doo doo doo doo doo doo
Safe at last, doo doo doo doo doo doo
Safe at last!

It's the end, doo doo doo doo doo doo
It's the end, doo doo doo doo doo doo
It's the end, doo doo doo doo doo doo
It's the end!"
I Gotta Feeling,The Black Eyed Peas,"[Will.I.am:]
I got a feeling
That tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night
A feeling
That tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night

[Will.I.am & Fergie {will.I.am}:]
{A feeling (Woo-hoo)}
That tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night
{A feeling (Woo-hoo)}
That tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night (Fee-)

Tonight's the night, let's live it up
I got my money, let's spend it up (I feel-)
Go out and smash it like oh my God
Jump off that sofa, let's kick it off (I feel-)
{I know that we'll have a ball}
{If we get down and go out and just lose it all}
I feel {stressed out, I wanna let it go}
Let's go way out, spaced out, and losin' all control

[Will.I.am {Fergie}:]
Fill up my cup, mazel tov
Look at her dancin', just take it off (I feel-)
Let's paint the town, we'll shut it down
Let's burn the roof
{And then we'll do it again} (I feel-)
Let's do it, let's do it, let's do it, let's do it
And do it, and do it, {let's live it up}
And do it, and do it, and do it, do it, do it
Let's do it, let's do it, let's do it

[Will.I.am {Fergie}:]
'Cause I got a feeling (Woo-hoo)
That tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night
A feeling (Woo-hoo)
{That tonight's gonna be a good night}
{That tonight's gonna be a good night}
{That tonight's gonna be a good, good night} (Fee-)

Tonight's the night (Hey)
Let's live it up {Let's live it up}
I got my money (I'm paying)
Let's spend it up (Let's spend it up)
Go out and smash it {Smash it}
Like oh my God (Like oh my God)
Jump off that sofa (Come on), let's kick it off

Fill up my cup {Drank}
Mazel tov (L'chaim)
Look at her dancin' {Move it, move it}, just take it off
Let's paint the town (Paint the town)
We'll shut it down (Shut it down)
Let's burn the roof
{And then we'll do it again}
Let's do it, let's do it, let's do it, let's do it
And do it, and do it, {let's live it up}
And do it, and do it, and do it, do it, do it
Let's do it, let's do it, let's do it, do it, do it, do it

Here we come, here we go, we gotta rock
Easy come, easy go, now we on top
Fill the shot, body rock, rock it don't stop
Round and round, up and down, around the clock
{Monday, Tuesday, Wednesday and Thursday (Do it)}
{Friday, Saturday, Saturday to Sunday (Do it)}
{Weekend get-get-get with us, you know what we say}
{Party every day, p-p-p-party every day}

[Will.I.am & Fergie {will.I.am}:]
{And I'm feeling (Woo-hoo)}
That tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night
{A feeling (Woo-hoo)}
That tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night

[Will.I.am:]
Woo-hoo"
Party Rock Anthem,LMFAO feat Lauren Bennett & GoonRock,"Party rock
Let's go!

Party rock is in the house tonight
Everybody just have a good time
And we gon' make you lose your mind
Everybody just have a good time (clap!)

Party rock is in the house tonight
Everybody just have a good time
(I can feel it baby!)
And we gon' make you lose your mind
We just wanna see you... shake that!

In the club party rock, lookin' for your girl,
She on my jock non-stop when we're in the spot
Booty move her weight like she on the block
Where the drank? I gots to know
Tight jeans, tattoo 'cause I'm rock and roll
Half-black half-white domino
Gain the money Oprah Doe!

Yo!
I'm running through these hoes like Drano
I got that devilish flow rock and roll no halo
We party rock! Yeah, that's the crew that I'm repping
On a rise to the top no lead/Led in our Zeppelin
Hey!

Party rock is in the house tonight
Everybody just have a good time
And we gon' make you lose your mind
Everybody just have a good time

Let's go

Party rock is in the house tonight
Everybody just have a good time
(I can feel it baby!)
And we gon' make you lose your mind
We just wanna see you... shake that!

Every day I'm shuffling
Shuffling shuffling

Step up fast
And be the first girl to make me throw this cash
We get money, don't be mad,
Now stop – hating's bad

One more shot for us
(Another round)
Please fill up my cup
(Don't mess around)
We just wanna see
(You shake it now)
Now you're home with me
(You're naked now)

[Lauren Bennett:]
Get up get down put your hands up to the sound [3x]
Put your hands up to the sound [2x]
Get up [9x]
Put your hands up to the sound, to the sound
Put your hands up! [4x]

Party rock is in the house tonight (put your hands up!)
Everybody just have a good time (put your hands up!)
And we gon' make you lose your mind (put your hands up!)
Everybody just have a good good good time

Put your hands up
I can feel it, baby!
Put your hands up
Put your hands up

Shake that!
Every day I'm shuffling

Put your put your
Put your put your
Put your put your
Put your put your
Put your hands up
Your hands up
Put your hands up"
Call Me Maybe,Carly Rae Jepsen,"I threw a wish in the well
Don't ask me, I'll never tell
I looked to you as it fell
And now you're in my way

I'd trade my soul for a wish
Pennies and dimes for a kiss
I wasn't looking for this
But now you're in my way

Your stare was holdin'
Ripped jeans, skin was showin'
Hot night, wind was blowin'
Where you think you're going, baby?

Hey, I just met you
And this is crazy
But here's my number
So call me, maybe?

It's hard to look right
At you baby
But here's my number
So call me, maybe?

Hey, I just met you
And this is crazy
But here's my number
So call me, maybe?

And all the other boys
Try to chase me
But here's my number
So call me, maybe?

You took your time with the call
I took no time with the fall
You gave me nothing at all
But still, you're in my way

I beg, and borrow and steal
At first sight and it's real
I didn't know I would feel it
But it's in my way

Your stare was holdin'
Ripped jeans, skin was showin'
Hot night, wind was blowin'
Where you think you're going, baby?

Hey, I just met you
And this is crazy
But here's my number
So call me, maybe?

It's hard to look right
At you baby
But here's my number
So call me, maybe?

Hey, I just met you
And this is crazy
But here's my number
So call me, maybe?

And all the other boys
Try to chase me
But here's my number
So call me, maybe?

Before you came into my life
I missed you so bad
I missed you so bad
I missed you so, so bad

Before you came into my life
I missed you so bad
And you should know that
I missed you so, so bad

It's hard to look right
At you baby
But here's my number
So call me, maybe?

Hey, I just met you
And this is crazy
But here's my number
So call me, maybe?

And all the other boys
Try to chase me
But here's my number
So call me, maybe?

Before you came into my life
I missed you so bad
I missed you so bad
I missed you so, so bad

Before you came into my life
I missed you so bad
And you should know that

So call me, maybe?"
Poker Face,Lady Gaga,"Mum mum mum mah
Mum mum mum mah
Mum mum mum mah
Mum mum mum mah
Mum mum mum mah

I wanna hold 'em like they do in Texas, please (Woo)
Fold 'em, let 'em hit me, raise it, baby, stay with me (I love it)
LoveGame intuition, play the cards with spades to start
And after he's been hooked, I'll play the one that's on his heart

Oh, whoa-oh, oh, oh
Oh-oh-oh-oh-oh-oh
I'll get him hot, show him what I've got
Oh, whoa-oh, oh, oh
Oh-oh-oh-oh-oh-oh
I'll get him hot, show him what I've got

Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)

P-p-p-poker face, f-f-fuck her face
(Mum mum mum mah)
P-p-p-poker face, f-f-fuck her face
(Mum mum mum mah)

I wanna roll with him, a hard pair we will be (Woo)
A little gamblin' is fun when you're with me (I love it, woo)
Russian roulette is not the same without a gun
And baby, when it's love, if it's not rough, it isn't fun, fun

Oh, whoa-oh, oh, oh
Oh-oh-oh-oh-oh-oh
I'll get him hot, show him what I've got
Oh, whoa-oh, oh, oh
Oh-oh-oh-oh-oh-oh
I'll get him hot, show him what I've got

Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)

P-p-p-poker face, f-f-fuck her face
(Mum mum mum mah)
P-p-p-poker face, f-f-fuck her face
(Mum mum mum mah)
(Mum mum mum mah)
(Mum mum mum mah)

I won't tell you that I love you
Kiss or hug you
'Cause I'm bluffin' with my muffin
I'm not lyin', I'm just stunnin' with my love-glue-gunnin'
Just like a chick in the casino
Take your bank before I pay you out
I promise this, promise this
Check this hand 'cause I'm marvelous

Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)

P-p-p-poker face, f-f-fuck her face
P-p-p-poker face, f-f-fuck her face
(She's got me like nobody)
P-p-p-poker face, f-f-fuck her face
(Mum mum mum mah)
P-p-p-poker face, f-f-fuck her face
(Mum mum mum mah)
P-p-p-poker face, f-f-fuck her face
(Mum mum mum mah)
P-p-p-poker face, f-f-fuck her face
(Mum mum mum mah)"
